repo,has_package_json,has_lockfile,has_node_modules,build_script,dev_script,framework,has_tsconfig,has_tailwind,env_example,src_dirs,file_count
.vitepress/cache/deps_temp_e3e52309,yes,,no,,,,no,no,no,,0
.worktrees/PhenoKits-tracera-fr-scaffold/docs,yes,,no,vitepress build,vitepress dev,vite,no,no,no,,0
.worktrees/PhenoKits-tracera-fr-scaffold,yes,bun.lock,no,,,vite,no,no,no,src,0
.worktrees/PolicyStack-docs/docs,yes,bun.lock,no,,,vite,no,no,no,,0
.worktrees/PolicyStack-docs,yes,package-lock.json;bun.lock,yes,,,vite,no,no,yes,,0
.worktrees/bare-cua-docs,yes,,no,,,vite,no,no,no,,0
.worktrees/cliproxyapi-plusplus-docs,yes,bun.lock,no,,,,no,no,yes,,0
.worktrees/cloud-docs/cloud-agent-next,yes,,no,,wrangler dev --env 'dev',vite,yes,no,no,src,0
.worktrees/cloud-docs/cloud-agent,yes,,no,,wrangler dev --env 'dev',vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-ai-attribution,yes,,no,,wrangler dev --env dev,,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-app-builder,yes,,no,,wrangler dev,vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-auto-fix-infra,yes,,no,,wrangler dev,,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-auto-triage-infra,yes,,no,,wrangler dev,,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-code-review-infra,yes,,no,,wrangler dev,,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-db-proxy,yes,,no,,wrangler dev,vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-gastown,yes,,no,,pnpm container:prepare && wrangler dev --env dev --ip 0.0.0.0,vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-git-token-service,yes,,no,,wrangler dev,,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-gmail-push,yes,,no,,wrangler dev,vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-images-mcp,yes,,no,,wrangler dev --env dev,vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-o11y,yes,,no,,wrangler dev,vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-security-auto-analysis,yes,,no,,wrangler dev --env dev,vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-security-sync,yes,,no,,wrangler dev --env dev,,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-session-ingest,yes,,no,,wrangler dev,vite,yes,no,no,src,0
.worktrees/cloud-docs/cloudflare-webhook-agent-ingest,yes,,no,,wrangler dev --env dev,vite,yes,no,no,src,0
.worktrees/cloud-docs/kiloclaw,yes,,no,,wrangler dev,vite,yes,no,no,src,0
.worktrees/feat/http-client-core-fixes,yes,,no,,,vue-vite,no,no,yes,src,0
.worktrees/heliosapp-pr362-clean/docs,yes,,no,,,vite,no,no,no,,0
.worktrees/org-github-docs,yes,,no,,,vite,no,no,no,,0
.worktrees/tracely-docs,yes,bun.lock,yes,,,vite,no,no,no,src,0
AgilePlus/apps/landing,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,yes,src,0
AgilePlus/docs,yes,package-lock.json,no,,,vite,no,no,no,,0
AtomsBot-wtrees/bump-happy-dom-v20,yes,package-lock.json;bun.lock,yes,rimraf dist && tsup,tsup --watch,vite,yes,no,yes,src,0
AtomsBot-wtrees/bun-unblock,yes,package-lock.json;bun.lock,yes,rimraf dist && tsup,tsup --watch,vite,yes,no,yes,src,0
AtomsBot-wtrees/journey-impl,yes,package-lock.json;bun.lock,no,rimraf dist && tsup,tsup --watch,vite,yes,no,yes,src,0
AtomsBot-wtrees/sladge-badge,yes,bun.lock,no,rimraf dist && tsup,tsup --watch,vite,yes,no,yes,src,0
AtomsBot,yes,package-lock.json;bun.lock,yes,rimraf dist && tsup,tsup --watch,vite,yes,no,yes,src,0
AuthKit/typescript,yes,,no,tsc,,,no,no,no,,0
Civis-wtrees/journey-impl/docs,yes,bun.lock,no,vitepress build,vitepress dev,vue-vite,no,no,no,,0
Civis-wtrees/journey-impl,yes,bun.lock,no,,,vite,no,no,yes,,0
Civis-wtrees/journey-impl/web,yes,,no,echo 'web build scaffold',echo 'web scaffold ready',,no,no,no,,0
Civis/docs,yes,bun.lock,no,vitepress build,vitepress dev,vue-vite,no,no,no,,0
Civis,yes,bun.lock,no,,,vite,no,no,yes,,0
Civis/web,yes,,yes,echo 'web build scaffold',echo 'web scaffold ready',,no,no,no,,0
DataKit/typescript/datamold,yes,,no,tsc,,vite,yes,no,no,src,0
HexaKit/packages/pheno-core,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
HexaKit/packages/pheno-llm,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
HexaKit/packages/pheno-resilience,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
HexaKit/templates/typescript,yes,package-lock.json;pnpm-lock.yaml,no,tsc,,vite,yes,no,no,src,0
KDesktopVirt-wtrees/cargo-update-2026-04-27,yes,,no,,,vue-vite,no,no,no,src,0
KDesktopVirt-wtrees/journey-impl,yes,,no,,,vue-vite,no,no,no,src,0
KDesktopVirt-wtrees/kdesktopvirt-sladge-badge,yes,,no,,,vue-vite,no,no,no,src,0
KDesktopVirt-wtrees/license-year,yes,,no,,,vue-vite,no,no,no,src,0
KDesktopVirt,yes,,no,,,vue-vite,no,no,no,src,0
McpKit-wtrees/journey-impl/typescript,yes,,no,tsc,,,no,no,no,,0
McpKit-wtrees/sladge-badge/typescript,yes,,no,tsc,,,no,no,no,,0
McpKit/typescript,yes,,no,tsc,,,no,no,no,,0
Paginary-wtrees/journey-impl,yes,bun.lock,no,turbo run build,turbo run dev,vue-vite,no,no,no,,0
Paginary/apps/handbook,yes,,yes,vitepress build .,vitepress dev .,vue-vite,no,no,no,src,0
Paginary/apps/journeys,yes,,yes,vitepress build .,vitepress dev .,vue-vite,no,no,no,src,0
Paginary/apps/specs,yes,,yes,vitepress build .,vitepress dev .,vue-vite,no,no,no,src,0
Paginary/apps/xdd,yes,,yes,vitepress build .,vitepress dev .,vue-vite,no,no,no,src,0
Paginary,yes,bun.lock,yes,turbo run build,turbo run dev,vue-vite,no,no,no,,0
Paginary/packages/paginary-theme,yes,,yes,,,vue-vite,no,no,no,,0
PhenoCompose-wtrees/journey-impl,yes,,no,,,vue-vite,no,no,no,,0
PhenoCompose,yes,,no,,,vue-vite,no,no,no,,0
PhenoCompose/tests/playwright,yes,,no,tsc,,,no,no,no,src,0
PhenoDevOps/agent-devops-setups/docs,yes,package-lock.json,no,,,vite,no,no,no,,0
PhenoDevOps/packages/pheno-core,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
PhenoDevOps/packages/pheno-llm,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
PhenoDevOps/packages/pheno-resilience,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
PhenoHandbook-wtrees/journey-impl,yes,,no,,,vite,no,no,no,,0
PhenoHandbook,yes,,yes,,,vite,no,no,no,,0
PhenoMCP,yes,package-lock.json,yes,,,vite,no,no,no,src,0
PhenoProc/crates/cursora,yes,,no,,,,yes,no,no,src,0
PhenoProc/crates/datamold,yes,,no,tsc,,vite,yes,no,no,src,0
PhenoProc/crates/guardis,yes,,no,tsc,,vite,yes,no,no,src,0
PhenoProc/crates/phenotype-cli-core,yes,bun.lock,no,,,vue-vite,no,no,no,src,0
PhenoProc/crates/phenotype-gauge,yes,,no,,,vue-vite,no,no,no,src,0
PhenoProc/crates/phenotype-infrakit,yes,,no,,,vite,no,no,yes,,0
PhenoProc/crates/phenotype-shared,yes,bun.lock,yes,,,vite,no,no,no,,0
PhenoProc/crates/prismal,yes,,no,,,,yes,no,no,src,0
PhenoProc/phenotype-cli-core,yes,bun.lock,no,,,vue-vite,no,no,no,,0
PhenoProc/phenotype-config-ts,yes,bun.lock,no,"tsup src/index.ts --format cjs,esm --dts --clean",,vue-vite,no,no,no,src,0
PhenoProc/phenotype-validation/typescript,yes,,no,tsc,,,no,no,no,src,0
PhenoProject/go/KaskMan,yes,package-lock.json,yes,npm run lint && npm run test:ci,nodemon src/interfaces/cli/index.js,,yes,no,yes,src,0
PhenoRuntime,yes,bun.lock,yes,,,vite,no,no,no,src,0
PhenoSchema/pheno-xdd-lib/docs,yes,package-lock.json,no,,,vue-vite,no,no,no,,0
Planify/apps/api,yes,,no,,,,no,no,yes,,0
Planify/packages/codemods,yes,,no,,,vite,yes,no,no,,0
Planify/packages/constants,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,0
Planify/packages/decorators,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,0
Planify/packages/logger,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,0
Planify/packages/services,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,0
Planify/packages/shared-state,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,0
Planify/packages/tailwind-config,yes,,no,,,,no,no,no,,0
Planify/packages/types,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,0
Planify/packages/typescript-config,yes,,no,,,,no,no,no,,0
Planify/packages/utils,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,0
PlatformKit/go/devenv,yes,,no,,,vue-vite,no,no,no,,0
PolicyStack-wtrees/journey-impl/docs,yes,,no,,,vite,no,no,no,,0
PolicyStack-wtrees/journey-impl,yes,package-lock.json,yes,,,vite,no,no,yes,,0
PolicyStack-wtrees/sladge-badge/docs,yes,,no,,,vite,no,no,no,,0
PolicyStack-wtrees/sladge-badge,yes,package-lock.json,yes,,,vite,no,no,yes,,0
PolicyStack/docs,yes,,no,,,vite,no,no,no,,0
PolicyStack,yes,package-lock.json,yes,,,vite,no,no,yes,,0
QuadSGM/4sgm/mastra-service,yes,,no,,,,no,no,no,,0
Tasken/python,yes,,no,tsc,,,no,no,no,,0
Tracera-wtrees/lockfile-regen-2026-04-27/docs,yes,,no,,,vite,no,no,no,,0
Tracera/ARCHIVE/DEBUG_LOGS,yes,,no,bun run build:frontend,bun --filter='@tracertm/web' run dev,,yes,no,no,,0
Tracera/default/acorn-jsx@5.3.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/acorn@8.15.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/ajv@6.12.6@@@1,yes,,no,"del-cli lib/dotjs/*.js ""!lib/dotjs/index.js"" && node scripts/compile-dots.js",,,no,no,no,,0
Tracera/default/ansi-styles@4.3.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/argparse@2.0.1@@@1,yes,,no,,,,no,no,no,,0
